customer_id,last_order_date,recency_days,frequency_orders,monetary_revenue
14646,2011-12-08,1,73,280206.02
18102,2011-12-09,0,60,259657.3
17450,2011-12-01,8,46,194550.79
16446,2011-12-09,0,2,168472.5
14911,2011-12-08,1,201,143825.06
12415,2011-11-15,24,21,124914.53
14156,2011-11-30,9,55,117379.63
17511,2011-12-07,2,31,91062.38
16029,2011-11-01,38,63,81024.84
12346,2011-01-18,325,1,77183.6
16684,2011-12-05,4,28,66653.56
14096,2011-12-05,4,17,65164.79
13694,2011-12-06,3,50,65039.62
15311,2011-12-09,0,91,60767.9
13089,2011-12-07,2,97,58825.83
17949,2011-12-08,1,45,58510.48
15769,2011-12-02,7,26,56252.72
15061,2011-12-06,3,48,54534.14
14298,2011-12-01,8,44,51527.3
14088,2011-11-29,10,13,50491.81
15749,2011-04-18,235,3,44534.3
12931,2011-11-18,21,15,42055.96
17841,2011-12-08,1,124,40991.57
15098,2011-06-10,182,3,39916.5
13798,2011-12-08,1,57,37153.85
16013,2011-12-06,3,47,37130.6
16422,2011-11-22,17,51,34684.4
12748,2011-12-09,0,209,33719.73
15838,2011-11-28,11,19,33643.08
17404,2011-12-05,4,15,31906.82
17389,2011-12-09,0,34,31833.68
13098,2011-12-08,1,28,28882.44
14680,2011-11-14,25,16,28754.11
13081,2011-11-28,11,11,28337.38
13408,2011-12-08,1,62,28117.04
17857,2011-12-05,4,23,26879.04
16333,2011-12-02,7,22,26626.8
13777,2011-12-09,0,33,25977.16
12753,2011-11-17,22,6,21429.39
12744,2011-10-19,51,7,21279.29
16210,2011-12-08,1,18,21086.3
17675,2011-12-08,1,31,20374.28
17381,2011-12-01,8,29,20275.61
15039,2011-11-30,9,47,19914.44
12471,2011-12-07,2,30,19824.05
12731,2011-11-16,23,12,18895.91
15159,2011-12-08,1,30,18641.01
12901,2011-12-01,8,28,17654.54
12678,2011-10-28,42,12,17628.46
14031,2011-12-02,7,19,17286.86
17428,2011-12-09,0,28,17256.85
13767,2011-12-07,2,37,17220.36
13881,2011-12-06,3,20,17159.52
16839,2011-12-01,8,34,16594.35
12921,2011-11-30,9,37,16587.09
14607,2011-11-24,15,14,16569.5
15856,2011-12-05,4,27,16387.57
17677,2011-12-08,1,30,16363.23
15189,2011-12-08,1,41,16225.39
14051,2011-12-09,0,23,15610.39
15513,2011-11-06,33,19,14758.22
16133,2011-12-06,3,33,14589.04
14866,2011-11-29,10,12,14389.9
16705,2011-12-09,0,20,14034.99
12681,2011-11-25,14,22,13787.54
12621,2011-12-08,1,20,13689.67
12540,2011-11-20,19,17,13400.24
12433,2011-12-09,0,7,13375.87
15498,2011-12-07,2,27,13316.4
12477,2011-11-17,22,6,13219.74
17735,2011-12-07,2,19,13110.02
16525,2011-12-07,2,26,13027.45
14258,2011-11-30,9,9,12669.98
13078,2011-12-06,3,26,12627.94
12536,2011-10-27,43,3,12601.83
15640,2011-12-05,4,15,12515.66
16000,2011-12-07,2,3,12393.7
17340,2011-11-10,29,11,12353.29
12682,2011-12-06,3,31,12288.22
13113,2011-12-09,0,24,12245.96
14606,2011-12-08,1,93,12156.65
12557,2011-11-23,16,5,11990.96
12939,2011-10-06,64,8,11581.8
15125,2011-11-14,25,15,11528.48
14194,2011-12-05,4,21,11349.52
12971,2011-12-06,3,86,11189.91
14895,2011-12-02,7,20,11138.71
12409,2011-09-22,78,3,11072.67
15482,2011-11-24,15,12,11054.96
17581,2011-12-09,0,25,11045.04
13319,2011-12-04,5,26,10845.55
17107,2011-11-06,33,6,10815.43
13340,2011-10-25,45,7,10736.48
14769,2011-12-07,2,8,10674.75
17139,2011-11-24,15,12,10668.47
16779,2011-12-07,2,22,10629.72
17865,2011-11-09,30,20,10526.32
17706,2011-12-05,4,17,10504.49
15251,2011-11-30,9,11,10484.99
14062,2011-11-30,9,12,10464.85
15615,2011-11-29,10,23,10399.74
15502,2011-11-24,15,12,10384.93
16180,2011-08-31,100,8,10254.18
16843,2011-10-28,42,16,10196.57
12590,2011-05-12,211,2,9864.26
13001,2011-12-05,4,13,9818.82
13199,2011-12-06,3,38,9817.12
15078,2011-12-02,7,32,9743.11
12709,2011-11-24,15,15,9736.52
13458,2011-12-02,7,14,9646.57
14733,2011-11-23,16,12,9585.91
16523,2011-12-08,1,21,9418.47
12567,2011-11-17,22,10,9401.28
14367,2011-12-01,8,16,9261.52
14667,2011-11-29,10,25,9241.2
18092,2011-12-07,2,11,9068.26
13969,2011-12-02,7,18,9053.94
12451,2011-11-29,10,5,9035.52
13488,2011-11-22,17,13,8968.31
13090,2011-12-01,8,14,8910.82
16033,2011-12-04,5,20,8816.4
17017,2011-12-07,2,20,8694.26
17243,2011-12-08,1,26,8676.85
17306,2011-11-29,10,19,8631.31
16656,2011-11-17,22,15,8625.8
14527,2011-12-07,2,55,8508.82
12683,2011-12-05,4,15,8476.57
18139,2011-11-22,17,6,8438.34
15358,2011-12-05,4,22,8347.2
16558,2011-12-09,0,20,8338.49
14056,2011-12-08,1,23,8214.65
14936,2011-11-06,33,8,8137.02
16672,2011-12-07,2,20,8134.94
13854,2011-12-01,8,25,8109.52
14952,2011-10-11,59,11,8099.49
18109,2011-12-08,1,26,8052.97
14796,2011-12-08,1,17,8022.49
12428,2011-11-14,25,9,7956.46
15290,2011-12-05,4,18,7943.22
14849,2011-11-18,21,25,7930.54
12757,2011-11-24,15,13,7857.1
17811,2011-12-05,4,39,7837.73
13093,2011-03-09,275,8,7832.47
12435,2011-09-21,79,2,7829.89
13629,2011-11-16,23,11,7792.36
15044,2011-11-20,19,17,7700.23
15194,2011-12-06,3,15,7616.53
18172,2011-11-25,14,20,7561.68
13263,2011-12-08,1,35,7454.07
12474,2011-11-22,17,18,7375.79
12980,2011-07-05,157,9,7374.9
15465,2011-11-20,19,18,7354.62
17396,2011-10-31,39,8,7330.8
12583,2011-12-07,2,15,7281.38
13018,2011-11-23,16,28,7277.7
18229,2011-11-28,11,20,7276.9
16923,2011-11-27,12,19,7247.61
16729,2011-11-01,38,21,7239.92
16745,2011-09-14,86,17,7194.3
16873,2011-12-05,4,6,7123.62
13324,2011-11-03,36,10,7121.95
13985,2011-12-05,4,15,7060.13
14961,2011-11-29,10,9,7044.68
12766,2011-12-06,3,7,6989.63
12798,2011-11-29,10,3,6977.04
12989,2011-12-06,3,15,6924.11
16713,2011-11-21,18,15,6923.13
13027,2011-08-18,113,6,6912.0
16187,2011-11-08,31,15,6911.44
17416,2011-11-10,29,7,6893.42
12705,2011-11-24,15,9,6868.29
12476,2011-11-24,15,11,6816.42
12830,2011-11-02,37,6,6814.64
15023,2011-12-06,3,11,6802.76
18055,2011-12-02,7,10,6784.19
15601,2011-11-28,11,14,6776.56
16652,2011-10-12,58,7,6773.97
16532,2011-11-22,17,3,6748.8
13576,2011-11-29,10,18,6717.34
16746,2011-12-05,4,18,6697.66
15249,2011-11-08,31,13,6688.46
16353,2011-12-06,3,23,6675.71
17338,2011-11-22,17,8,6643.93
12626,2011-11-16,23,9,6620.48
16182,2011-09-28,72,4,6617.65
15144,2011-12-01,8,17,6580.44
12472,2011-11-07,32,7,6572.11
16814,2011-11-25,14,21,6509.1
12431,2011-11-04,35,15,6487.45
18223,2011-12-05,4,14,6484.54
15694,2011-12-09,0,14,6479.4
13225,2011-12-06,3,7,6463.84
13102,2011-12-08,1,24,6424.09
13871,2011-11-17,22,13,6403.25
12359,2011-10-13,57,4,6372.58
13668,2011-12-07,2,21,6363.59
13709,2011-12-06,3,13,6328.05
15005,2011-11-24,15,28,6316.57
17315,2011-12-08,1,38,6292.26
16126,2011-11-10,29,4,6287.77
14057,2011-11-16,23,17,6217.96
12357,2011-11-06,33,1,6207.67
14060,2011-12-05,4,19,6140.42
13418,2011-11-28,11,18,6127.43
17509,2011-10-13,57,8,6115.14
15939,2011-09-11,89,15,6115.01
14735,2011-12-06,3,32,6065.69
12637,2011-10-03,67,8,6021.9
13097,2011-11-07,32,10,6010.42
13316,2011-11-02,37,4,5977.73
14101,2011-09-27,73,6,5976.79
15382,2011-11-25,14,6,5955.71
14505,2011-11-22,17,8,5905.64
14415,2011-12-08,1,13,5900.28
14944,2011-11-10,29,12,5900.25
13209,2011-11-09,30,8,5891.61
13534,2011-12-07,2,25,5870.08
13050,2011-11-25,14,17,5836.86
12720,2011-12-07,2,25,5781.73
15218,2011-11-29,10,11,5756.89
17686,2011-12-02,7,7,5739.46
13178,2011-11-13,26,11,5725.47
16553,2011-06-29,163,12,5719.82
13468,2011-12-08,1,37,5704.97
14110,2011-12-06,3,12,5683.15
14049,2011-11-23,16,4,5681.72
17049,2011-12-07,2,9,5659.98
17716,2011-11-17,22,11,5655.99
13004,2011-11-28,11,18,5655.91
18118,2011-11-29,10,26,5653.82
14688,2011-12-02,7,21,5630.87
17757,2011-12-08,1,30,5605.29
12481,2011-11-17,22,10,5596.32
12839,2011-12-07,2,14,5591.42
16767,2011-11-09,30,11,5580.6
16161,2011-12-08,1,19,5575.56
12539,2011-11-17,22,4,5568.35
15805,2011-11-16,23,17,5528.48
18225,2011-12-06,3,12,5509.12
16609,2011-11-24,15,7,5493.46
16985,2011-11-22,17,10,5464.12
16265,2011-11-30,9,9,5447.0
18198,2011-12-05,4,17,5425.56
12490,2011-12-04,5,10,5417.93
17809,2011-11-23,16,12,5411.91
16701,2011-12-01,8,13,5398.3
17719,2011-11-02,37,15,5396.04
17850,2010-12-02,372,34,5391.21
16303,2011-11-14,25,3,5360.63
13269,2011-12-08,1,15,5346.23
15150,2011-11-22,17,10,5314.47
17730,2011-12-06,3,13,5298.48
17061,2011-09-27,73,11,5232.23
18226,2011-10-26,44,11,5228.05
12362,2011-12-06,3,10,5226.23
15046,2011-11-30,9,15,5213.77
16258,2011-10-25,45,5,5203.51
13756,2011-12-07,2,14,5189.52
16191,2011-12-07,2,13,5180.52
15727,2011-11-23,16,7,5178.96
17858,2011-12-04,5,12,5155.66
13599,2011-12-08,1,21,5153.67
15903,2011-11-30,9,7,5126.76
