product_id,product_name,units,revenue
DOT,DOTCOM POSTAGE,706.0,206248.77
22423,REGENCY CAKESTAND 3 TIER,13879.0,174484.74
23843,"PAPER CRAFT , LITTLE BIRDIE",80995.0,168469.6
85123A,wrongly marked carton 22804,37952.0,106471.28
47566,PARTY BUNTING,18295.0,99504.33
85099B,JUMBO BAG RED RETROSPOT,48474.0,94340.05
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033.0,81700.92
M,Manual,7225.0,78112.82
POST,POSTAGE,3150.0,78101.88
23084,website fixed,30788.0,66964.99
22086,PAPER CHAIN KIT 50'S CHRISTMAS,19355.0,64952.29
84879,damaged,36461.0,59094.93
79321,CHILLI LIGHTS,10306.0,54117.76
22502,reverse 21/5/10 adjustment,1940.0,51426.62
22197,SMALL POPCORN HOLDER,56921.0,51354.02
23298,SPOTTY BUNTING,8473.0,43182.83
22386,JUMBO BAG PINK POLKADOT,21465.0,42436.24
23203,mailout,20503.0,42067.78
21137,BLACK RECORD COVER FRAME,11656.0,40652.13
23284,DOORMAT KEEP CALM AND COME IN,5491.0,38166.64
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7493.0,38158.39
22960,JAM MAKING SET WITH JARS,8706.0,37128.88
20725,LUNCH BAG RED SPOTTY,19553.0,36042.01
82484,WOOD BLACK BOARD ANT WHITE FINISH,6020.0,36030.22
22178,VICTORIAN GLASS HANGING T-LIGHT,24304.0,33187.97
22114,HOT WATER BOTTLE TEA AND SYMPATHY,5747.0,33002.59
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,10604.0,32873.34
22112,CHOCOLATE HOT WATER BOTTLE,6025.0,32866.18
85099F,JUMBO BAG STRAWBERRY,17319.0,32802.53
22469,HEART OF WICKER SMALL,17971.0,32107.8
23245,SET OF 3 REGENCY CAKE TINS,6357.0,31177.95
21931,JUMBO STORAGE BAG SUKI,13654.0,30770.12
22727,ALARM CLOCK BAKELIKE RED,7815.0,30701.12
23199,JUMBO BAG APPLES,14920.0,30475.65
22470,HEART OF WICKER LARGE,9901.0,30139.41
22355,test,18152.0,29277.95
22699,ROSES REGENCY TEACUP AND SAUCER,9877.0,29095.27
23355,HOT WATER BOTTLE KEEP CALM,5841.0,28842.55
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12602.0,28634.95
22457,NATURAL SLATE HEART CHALKBOARD,9172.0,28147.96
85099C,JUMBO  BAG BAROQUE BLACK WHITE,13922.0,28092.2
20685,DOORMAT RED RETROSPOT,4092.0,28082.54
23201,JUMBO BAG ALPHABET,13379.0,27890.17
22726,ALARM CLOCK BAKELIKE GREEN,6430.0,27196.53
21175,GIN AND TONIC DIET METAL SIGN,12225.0,27074.07
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9476.0,26463.83
21915,RED  HARMONICA IN BOX,21933.0,26331.58
22666,RECIPE BOX PANTRY YELLOW DESIGN,8276.0,26240.6
84946,ANTIQUE SILVER TEA GLASS ETCHED,19246.0,25889.63
22629,SPACEBOY LUNCH BOX,14260.0,25740.47
22961,JAM MAKING SET PRINTED,16412.0,25660.98
48138,DOORMAT UNION FLAG,3762.0,25609.6
21181,PLEASE ONE PERSON METAL SIGN,12305.0,25290.58
